Date,MSCI_World,MSCI_EM
2011-06-10,1681.8939,33.3473
2011-06-13,1678.8994,33.2899
2011-06-14,1690.8772,33.7922
2011-06-15,1682.3931,33.0674
2011-06-16,1680.8958,32.8162
2011-06-17,1685.8867,32.8593
2011-06-20,1678.8994,32.8091
2011-06-21,1704.3525,33.4119
2011-06-22,1716.8293,33.0792
2011-06-23,1691.8759,33.0357
2011-06-24,1696.3676,32.9777
2011-06-27,1699.3623,33.3618
2011-06-28,1716.3304,33.8185
2011-06-29,1739.7871,34.1301
2011-06-30,1760.7489,34.4998
2011-07-01,1778.7153,34.9056
2011-07-05,1775.2218,34.8911
2011-07-06,1778.7153,34.6592
2011-07-07,1799.1775,35.1376
2011-07-08,1769.7316,34.7389
2011-07-11,1757.7539,33.7677
2011-07-12,1746.2749,33.4271
2011-07-13,1753.2622,33.9707
2011-07-14,1735.7944,33.6083
2011-07-15,1728.8074,33.8185
2011-07-18,1715.8311,33.4271
2011-07-19,1728.8074,33.9127
2011-07-20,1745.7755,34.0141
2011-07-21,1752.7632,34.5577
2011-07-22,1753.7610,34.5360
2011-07-25,1754.7594,34.4635
2011-07-26,1743.7798,34.5795
2011-07-27,1722.8184,33.9707
2011-07-28,1717.8279,33.9997
2011-07-29,1692.3744,34.1446
2011-08-01,1682.8922,34.1156
2011-08-02,1669.9160,33.0647
2011-08-03,1622.0045,32.9487
2011-08-04,1586.0709,31.0643
2011-08-05,1537.6606,30.8614
2011-08-08,1503.2236,28.2884
2011-08-09,1513.2056,29.9481
2011-08-10,1470.2844,28.3608
2011-08-11,1515.7007,29.9264
2011-08-12,1547.1426,29.9119
2011-08-15,1554.6289,30.6077
2011-08-16,1555.1276,30.3467
2011-08-17,1547.6422,30.5642
2011-08-18,1483.2609,29.1219
2011-08-19,1464.2957,28.7595
2011-08-22,1469.2867,28.7305
2011-08-23,1477.2715,29.7379
2011-08-24,1501.2278,29.4480
2011-08-25,1505.7195,28.8754
2011-08-26,1509.2131,29.3683
2011-08-30,1549.6378,30.3612
2011-08-31,1575.0907,30.9845
2011-09-01,1580.0818,30.8179
2011-09-02,1538.1597,30.1221
2011-09-06,1501.2278,29.8104
2011-09-07,1547.1426,30.6946
2011-09-08,1547.6422,30.0133
2011-09-09,1509.7118,28.9986
2011-09-12,1489.2494,28.9407
2011-09-13,1510.2104,28.9841
2011-09-14,1530.1738,28.9044
2011-09-15,1556.6246,29.3248
2011-09-16,1565.6084,29.3755
2011-09-19,1550.1368,28.5058
2011-09-20,1573.5939,28.2956
2011-09-21,1555.1276,27.2447
2011-09-22,1496.2368,25.3312
2011-09-23,1492.7430,26.0053
2011-09-26,1493.7415,26.3967
2011-09-27,1547.6422,27.2374
2011-09-28,1532.6696,26.4184
2011-09-29,1524.6842,26.7808
2011-09-30,1506.2181,25.4399
2011-10-03,1492.7430,24.9036
2011-10-04,1448.3253,25.2877
2011-10-05,1495.2386,25.8748
2011-10-06,1538.1597,26.7301
2011-10-07,1532.6696,26.4112
2011-10-10,1563.6122,27.5926
2011-10-11,1572.0970,27.6071
2011-10-12,1585.0729,28.3826
2011-10-13,1568.1045,28.1289
2011-10-14,1581.0800,28.6942
2011-10-17,1578.0859,27.7230
2011-10-18,1580.0818,28.4623
2011-10-19,1587.0687,27.9187
2011-10-20,1566.1077,27.3824
2011-10-21,1587.0687,28.1651
2011-10-24,1609.0281,29.2668
2011-10-25,1592.5591,28.6870
2011-10-26,1591.0618,29.2161
2011-10-27,1643.4642,30.9918
2011-10-28,1645.9606,30.7309
2011-10-31,1606.0345,29.5785
2011-11-01,1563.1134,28.8609
2011-11-02,1579.0839,29.7452
2011-11-03,1598.0486,30.0496
2011-11-04,1584.5737,29.8539
2011-11-07,1580.0818,30.1076
2011-11-08,1591.0618,30.4627
2011-11-09,1581.0800,28.6797
2011-11-10,1569.1019,28.8682
2011-11-11,1596.0527,29.5640
2011-11-14,1595.5535,29.1581
2011-11-15,1589.0653,29.3393
2011-11-16,1598.5475,28.5493
2011-11-17,1572.5959,27.8245
2011-11-18,1559.6196,27.9332
2011-11-21,1527.6787,27.0345
2011-11-22,1519.1945,27.1287
2011-11-23,1498.2332,26.2517
2011-11-25,1506.7175,26.1647
2011-11-28,1544.1488,27.4186
2011-11-29,1546.1445,27.2954
2011-11-30,1588.0676,28.9986
2011-12-01,1593.5565,28.9117
2011-12-02,1617.0138,28.8247
2011-12-05,1621.0063,29.2958
2011-12-06,1621.0063,28.8972
2011-12-07,1606.5336,29.0131
2011-12-08,1594.0555,27.9694
2011-12-09,1606.0345,28.5348
2011-12-12,1576.0891,27.4621
